line 1, 40.67 C
line 2, 40.01 C
line 3, 30.14 C
line 4, 44.45 C
line 5, 30.93 C
line 6, 31.20 C
line 7, 37.74 C
line 8, 39.94 C
line 9, 43.51 C
line 10, 39.59 C
line 11, 31.70 C
line 12, 34.18 C
line 13, 43.62 C
line 14, 36.26 C
line 15, 33.12 C
line 16, 34.09 C
line 17, 38.70 C
line 18, 42.89 C
line 19, 43.71 C
line 20, 40.70 C
line 21, 30.56 C
line 22, 34.88 C
line 23, 42.17 C
line 24, 40.44 C
line 25, 33.43 C
line 26, 39.45 C
line 27, 30.85 C
line 28, 40.80 C
line 29, 38.12 C
line 30, 34.04 C
line 31, 36.32 C
line 32, 37.19 C
line 33, 43.90 C
line 34, 37.72 C
line 35, 33.07 C
line 36, 44.28 C
line 37, 34.83 C
line 38, 37.66 C
line 39, 33.77 C
line 40, 42.98 C
line 41, 35.83 C
line 42, 39.02 C
line 43, 31.71 C
line 44, 38.12 C
line 45, 31.88 C
line 46, 38.95 C
line 47, 36.51 C
line 48, 34.01 C
line 49, 38.88 C
line 50, 40.89 C
line 51, 34.41 C
line 52, 43.86 C
line 53, 38.85 C
line 54, 36.53 C
line 55, 44.40 C
line 56, 40.27 C
line 57, 34.99 C
line 58, 33.36 C
line 59, 44.49 C
line 60, 33.30 C
line 61, 34.04 C
line 62, 31.42 C
line 63, 40.35 C
line 64, 36.26 C
line 65, 43.18 C
line 66, 37.83 C
line 67, 30.58 C
line 68, 42.35 C
line 69, 39.41 C
line 70, 42.01 C
line 71, 36.69 C
line 72, 30.80 C
line 73, 39.97 C
line 74, 36.89 C
line 75, 34.71 C
line 76, 38.73 C
line 77, 35.54 C
line 78, 41.67 C
line 79, 41.50 C
line 80, 42.89 C
line 81, 41.36 C
line 82, 41.06 C
line 83, 38.98 C
line 84, 40.11 C
line 85, 42.11 C
line 86, 33.14 C
line 87, 32.96 C
line 88, 38.31 C
line 89, 42.50 C
line 90, 32.84 C
line 91, 31.10 C
line 92, 40.50 C
line 93, 39.53 C
line 94, 30.23 C
line 95, 43.51 C
line 96, 42.90 C
line 97, 34.89 C
line 98, 36.64 C
line 99, 37.25 C
line 100, 35.27 C
